lake,date,depth_m,parameter,value
UpperFourmile,2024-09-07,5.5,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,5.5,cond_uScm,16.3
UpperFourmile,2024-09-07,5.5,do_mgL,7.705
UpperFourmile,2024-09-07,5.5,do_percent,73.9
UpperFourmile,2024-09-07,5.5,orp_mV,168.4
UpperFourmile,2024-09-07,5.5,pH,7.42
UpperFourmile,2024-09-07,5.5,phycoC_RFU,-0.11
UpperFourmile,2024-09-07,5.5,temp_C,13.481
UpperFourmile,2024-09-07,6.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,6.25,chla_RFU,0.28
UpperFourmile,2024-09-07,6.25,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,6.25,cond_uScm,16.3
UpperFourmile,2024-09-07,6.25,do_mgL,7.655
UpperFourmile,2024-09-07,6.25,do_percent,73.35
UpperFourmile,2024-09-07,6.25,orp_mV,168.75
UpperFourmile,2024-09-07,6.25,pH,7.41
UpperFourmile,2024-09-07,6.25,phycoC_RFU,-0.1
UpperFourmile,2024-09-07,6.25,temp_C,13.455
UpperFourmile,2024-09-07,6.5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,6.5,chla_RFU,0.28
UpperFourmile,2024-09-07,6.5,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,6.5,cond_uScm,16.3
UpperFourmile,2024-09-07,6.5,do_mgL,7.5649999999999995
UpperFourmile,2024-09-07,6.5,do_percent,72.45
UpperFourmile,2024-09-07,6.5,orp_mV,169.4
UpperFourmile,2024-09-07,6.5,pH,7.39
UpperFourmile,2024-09-07,6.5,phycoC_RFU,-0.09
UpperFourmile,2024-09-07,6.5,temp_C,13.4245
UpperFourmile,2024-09-07,6.75,barometer_mmHg,504.1
UpperFourmile,2024-09-07,6.75,chla_RFU,0.345
UpperFourmile,2024-09-07,6.75,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,6.75,cond_uScm,16.3
UpperFourmile,2024-09-07,6.75,do_mgL,7.47
UpperFourmile,2024-09-07,6.75,do_percent,71.55
UpperFourmile,2024-09-07,6.75,orp_mV,169.8
UpperFourmile,2024-09-07,6.75,pH,7.365
UpperFourmile,2024-09-07,6.75,phycoC_RFU,-0.08
UpperFourmile,2024-09-07,6.75,temp_C,13.395
UpperFourmile,2024-09-07,7,barometer_mmHg,504.1
UpperFourmile,2024-09-07,7,chla_RFU,0.355
UpperFourmile,2024-09-07,7,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,7,cond_uScm,16.3
UpperFourmile,2024-09-07,7,do_mgL,7.395
UpperFourmile,2024-09-07,7,do_percent,70.75
UpperFourmile,2024-09-07,7,orp_mV,170
UpperFourmile,2024-09-07,7,pH,7.35
UpperFourmile,2024-09-07,7,phycoC_RFU,-0.05
UpperFourmile,2024-09-07,7,temp_C,13.3595
UpperFourmile,2024-09-07,7.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,7.25,chla_RFU,0.305
UpperFourmile,2024-09-07,7.25,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,7.25,cond_uScm,16.3
UpperFourmile,2024-09-07,7.25,do_mgL,7.295
UpperFourmile,2024-09-07,7.25,do_percent,69.75
UpperFourmile,2024-09-07,7.25,orp_mV,170.25
UpperFourmile,2024-09-07,7.25,pH,7.34
UpperFourmile,2024-09-07,7.25,phycoC_RFU,-0.05
UpperFourmile,2024-09-07,7.25,temp_C,13.332
UpperFourmile,2024-09-07,7.5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,7.5,chla_RFU,0.29
UpperFourmile,2024-09-07,7.5,cond_spec_uScm,20.9
UpperFourmile,2024-09-07,7.5,cond_uScm,16.3
UpperFourmile,2024-09-07,7.5,do_mgL,7.195
UpperFourmile,2024-09-07,7.5,do_percent,68.75
UpperFourmile,2024-09-07,7.5,orp_mV,170.6
UpperFourmile,2024-09-07,7.5,pH,7.32
UpperFourmile,2024-09-07,7.5,phycoC_RFU,-0.07
UpperFourmile,2024-09-07,7.5,temp_C,13.312999999999999
UpperFourmile,2024-09-07,7.75,barometer_mmHg,504.1
UpperFourmile,2024-09-07,7.75,chla_RFU,0.305
UpperFourmile,2024-09-07,7.75,cond_spec_uScm,21
UpperFourmile,2024-09-07,7.75,cond_uScm,16.3
UpperFourmile,2024-09-07,7.75,do_mgL,7.105
UpperFourmile,2024-09-07,7.75,do_percent,67.85
UpperFourmile,2024-09-07,7.75,orp_mV,171
UpperFourmile,2024-09-07,7.75,pH,7.31
UpperFourmile,2024-09-07,7.75,phycoC_RFU,-0.08
UpperFourmile,2024-09-07,7.75,temp_C,13.305499999999999
UpperFourmile,2024-09-07,8,barometer_mmHg,504.1
UpperFourmile,2024-09-07,8,chla_RFU,0.39
UpperFourmile,2024-09-07,8,cond_spec_uScm,21
UpperFourmile,2024-09-07,8,cond_uScm,16.3
UpperFourmile,2024-09-07,8,do_mgL,6.99
UpperFourmile,2024-09-07,8,do_percent,66.80000000000001
UpperFourmile,2024-09-07,8,orp_mV,171.35000000000002
UpperFourmile,2024-09-07,8,pH,7.29
UpperFourmile,2024-09-07,8,phycoC_RFU,-0.03
UpperFourmile,2024-09-07,8,temp_C,13.29
UpperFourmile,2024-09-07,8.25,barometer_mmHg,504.1
UpperFourmile,2024-09-07,8.25,chla_RFU,2.23
UpperFourmile,2024-09-07,8.25,cond_spec_uScm,21.2
UpperFourmile,2024-09-07,8.25,cond_uScm,16.4
UpperFourmile,2024-09-07,8.25,do_mgL,6.84
UpperFourmile,2024-09-07,8.25,do_percent,65.3
UpperFourmile,2024-09-07,8.25,orp_mV,102.5
UpperFourmile,2024-09-07,8.25,pH,6.82
UpperFourmile,2024-09-07,8.25,phycoC_RFU,0.26
UpperFourmile,2024-09-07,8.25,temp_C,13.28
UpperFourmile,2024-09-07,8.5,barometer_mmHg,504.1
UpperFourmile,2024-09-07,8.5,chla_RFU,1.99
UpperFourmile,2024-09-07,8.5,cond_spec_uScm,21.4
UpperFourmile,2024-09-07,8.5,cond_uScm,16.6
UpperFourmile,2024-09-07,8.5,do_mgL,6.640000000000001
UpperFourmile,2024-09-07,8.5,do_percent,63.4
UpperFourmile,2024-09-07,8.5,orp_mV,92.5
UpperFourmile,2024-09-07,8.5,pH,6.69
UpperFourmile,2024-09-07,8.5,phycoC_RFU,1.205
UpperFourmile,2024-09-07,8.5,temp_C,13.273
UpperFourmile,2024-09-07,8.75,barometer_mmHg,504.1
UpperFourmile,2024-09-07,8.75,chla_RFU,3.1950000000000003
UpperFourmile,2024-09-07,8.75,cond_spec_uScm,21.4
UpperFourmile,2024-09-07,8.75,cond_uScm,16.6
UpperFourmile,2024-09-07,8.75,do_mgL,6.425
UpperFourmile,2024-09-07,8.75,do_percent,61.349999999999994
UpperFourmile,2024-09-07,8.75,orp_mV,81.9
UpperFourmile,2024-09-07,8.75,pH,6.67
UpperFourmile,2024-09-07,8.75,phycoC_RFU,1.56
UpperFourmile,2024-09-07,8.75,temp_C,13.275
