lake,date,depth_m,parameter,value
TurkeyCreek,2025-07-16,11.25,cond_spec_uScm,135.7
TurkeyCreek,2025-07-16,11.25,cond_uScm,82
TurkeyCreek,2025-07-16,11.25,do_mgL,0.19
TurkeyCreek,2025-07-16,11.25,do_percent,1.5
TurkeyCreek,2025-07-16,11.25,phycoC_RFU,-0.06
TurkeyCreek,2025-07-16,11.25,temp_C,4.279
TurkeyCreek,2025-07-16,11.75,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,11.75,chla_RFU,-0.03
TurkeyCreek,2025-07-16,11.75,cond_spec_uScm,138.4
TurkeyCreek,2025-07-16,11.75,cond_uScm,83.6
TurkeyCreek,2025-07-16,11.75,do_mgL,0.18
TurkeyCreek,2025-07-16,11.75,do_percent,1.4
TurkeyCreek,2025-07-16,11.75,phycoC_RFU,-0.06
TurkeyCreek,2025-07-16,11.75,temp_C,4.279
TurkeyCreek,2025-07-16,12,barometer_mmHg,511.6
TurkeyCreek,2025-07-16,12,chla_RFU,0
TurkeyCreek,2025-07-16,12,cond_spec_uScm,141.8
TurkeyCreek,2025-07-16,12,cond_uScm,85.7
TurkeyCreek,2025-07-16,12,do_mgL,0.17
TurkeyCreek,2025-07-16,12,do_percent,1.3
TurkeyCreek,2025-07-16,12,phycoC_RFU,-0.06
TurkeyCreek,2025-07-16,12,temp_C,4.279
TurkeyCreek,2025-07-16,12.25,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,12.25,chla_RFU,0.02
TurkeyCreek,2025-07-16,12.25,cond_spec_uScm,148.8
TurkeyCreek,2025-07-16,12.25,cond_uScm,89.9
TurkeyCreek,2025-07-16,12.25,do_mgL,0.14
TurkeyCreek,2025-07-16,12.25,do_percent,1.1
TurkeyCreek,2025-07-16,12.25,phycoC_RFU,-0.04
TurkeyCreek,2025-07-16,12.25,temp_C,4.282
TurkeyCreek,2025-07-16,12.5,barometer_mmHg,511.5
TurkeyCreek,2025-07-16,12.5,chla_RFU,0.03
TurkeyCreek,2025-07-16,12.5,cond_spec_uScm,154.75
TurkeyCreek,2025-07-16,12.5,cond_uScm,93.55000000000001
TurkeyCreek,2025-07-16,12.5,do_mgL,0.11499999999999999
TurkeyCreek,2025-07-16,12.5,do_percent,0.9
TurkeyCreek,2025-07-16,12.5,phycoC_RFU,-0.04
TurkeyCreek,2025-07-16,12.5,temp_C,4.2865
TurkeyCreek,2025-07-16,12.75,barometer_mmHg,511.65
